title,city,district,description
前端开发工程师（银行项目）,咸阳,秦都,"【工作内容】
5年及以上前端开发经验有丰富的react实际项目开发经验;具备使用Vue进行移动端h5开发经验;精通h5、css3和es6+;有前端工程化模块化开发经验了解代码分割懒加载等优化?段;具备组件设计和封装能?;具备浏览器适配?案能力;前端框架设计、封装、调优能力;熟练使?git进行版本控制和团队协作;有办公系统开发经验者优先。(做移动端h5项目需要能够修复代码组件漏洞有鸿蒙适配经验)
【任职要求】

"
前端开发工程师,济南,历城,"【工作内容】
互联网行业农业水利方向使用若依框架VUE2,3做可视化大屏展示页面GIS平台数字孪生项目。有GIS平台或数字孪生开发经验如超图火星Cesiumthreejs等优先。有大屏项目经验优先。不招应届实习。岗位职责:1.负责前端页面的开发与维护确保兼容各种浏览器2.与产品经理和后端工程师紧密合作确保产品功能的准确实现3.对前端技术进行研究不断提升前端开发效率和质量4.解决各种浏览器的兼容性问题
【任职要求】
任职要求1.具备良好的沟通能力和团队合作精神2.熟练掌握HTML/CSS/JavaScript等前端开发技术3.熟练掌握Vue等前端开发技术4.能够自我驱动对新技术充满热情
"
web前端开发工程师,石家庄,长安,"【工作内容】
岗位职责1、vue、react相关技术栈搭建。2、webpack项目环境配置、模块开发、打包。3、redux相关工作流设计管理。4、团队疑难技术问题解决
【任职要求】
岗位要求1、大专及以上学历2、至少3年以上Web应用开发熟悉VUE或React。3、精通HTML5/CSS3/JavaScript/Ajax/Jquery的开发。4、具备react/redux/webpack/node/开发经验优先考虑。5、熟悉GraphQL者优先考虑。6、精通EcmaScript6。招聘公司 河北川谷信息技术有限公司工作地址河北省石家庄长安区中房元泰C座23层双休 法定休
"
中高级前端开发工程师,常州,武进,"【工作内容】
1.遵守公司各项规章制度以及内部开发规范;2.按进度计划完成项目负责人及上级指定的开发和测试任务;3.积极参与前后端开发联调任务;4.及时修复开发中的问题和缺陷;5.主导项目需求的整理和软件设计6.协助其他开发人员解决开发中的技术问题;7.编写系统中核心的代码按时高质的完成功能实现;8.熟练掌握JavaScript、HTML5、CSS3、Vue、UniAPP、TypeScript等前端技术能够进行PC端和移动端项目前端开发项目9.熟练掌握封装组件的能力;10.有独立负责中大型项目经验优先11.积极主动推进项目进度优先
【任职要求】
岗位要求:1、大学本科及以上学历;2、有商城经验者优先。工作时间  8.3017.30  法定节假日正常放假福利五险一金节假日礼物法定年假制造业加班有加班费年底有年终奖
"
前端开发（新疆）,乌鲁木齐,米东,"【工作内容】
1、58年前端开发经验2、精通 HTML、CSS、JavaScript、TypeScript 等前端技术并具备大型 Web 应用程序开发经验3、熟练掌握 Vue2/Vue3/React/Angular 等主流前端框架UniApp 等主流跨端框架并深入理解其实现原理4、熟悉主流前端组件库 Element、Ant Design 等具备前端组件库设计经验5、深入理解前端?具链和?程化流程熟练掌握 Webpack、Vite 等?动化构建工具ESLint 等代码检查工具Git 等版本控制?具确保代码质量和工程化标准6、熟悉至少一种后端语言 Java、C# 等具备全栈开发能力7、具备大型项目独立开发能力以及项目重构、性能优化能力能够进行性能瓶颈分析并制定优化方案8、思路清晰具备良好的需求理解能力和沟通表达能力9、关注前端前沿技术有较强的学习能力具备良好的团队协作能力和高度的责任心10、具备良好的领导能力和解决问题的能力能够管理团队并解决技术难题
【任职要求】

"
密码芯片数字前端设计与开发工程师,武汉,洪山,"【工作内容】
一、专业背景要求1.硕士及以上学历通信、电子工程、计算机科学、密码学、自动化、微电子学等相关专业博士优先。 2.具备扎实的密码学理论基础熟悉各类密码技术原理、特点及应用场景。了解芯片设计基本流程具有数字电路设计、Verilog硬件描述语言等与关键技术。二、技术能力要求1.熟悉密码设备标准及数据加密标准和国密检测流程和认证规范。2.精通密码芯片架构设计方法熟练掌握至少一种硬件描述语言能独立完成密码芯片的架构设计。 3.熟悉国密SM 2/3/4/9算法掌握密码算法的硬件实现技术能针对不同算法设计高效实现方案。 4.可构建符合?国密规范的高安全接口满足后期认证要求。5.具备芯片性能优化能力擅长性能/功耗/面积与成本与安全等级平衡者优先。6.熟悉芯片安全防护技术能设计有效机制防范侧信道攻击与物理攻击者优先。7.可满构建满足国密二级及以上?认证要求的存储单元及其纵深防御体系者优先。三、实战能力要求1.拥有3年以上密码芯片设计实战经验。至少承担2个及以上完整密码芯片项目架构设计或核心模块设计至少2款以上密码芯片通过国家密码管理局二级及以上商用密码检测。2.能提供密码芯片架构设计、算法实现或性能优化方面的成功案例成果和性能数据。3.具备独立分析与解决芯片设计过程中复杂技术问题的能力。四、职业素养 1.具有高度责任心与敬业精神拥有良好协作、沟通能力及上进心。 2.创新意识与学习能力强并自觉持续关注行业动态与技术趋势。 诚实守信、恪守职业道德严守公司技术秘密
【任职要求】

"
中高级前端开发工程师,西安,雁塔,"【工作内容】
1、熟练使用Vue框架了解生命周期计算属性Vue指令vuexV1Le熟练掌握H5router,vueform等熟悉elementui等ui库的使用:2、熟悉JavaScript基础、CSS3、ES6等技术、页面架构和布局能够独立完成基础Web页面、H5开发:3、熟悉Web接口开发规范有前后端分离项目开发经验掌握与后端API对接: 4、掌握前端组件的封装方了解常见的组件间通信的方法。5.熟悉Java语言编程;6.数据TDSQL等数据库并且有SQL去调优能力;7.熟悉Tongweb、Tomcat等常用中间件;8.具备良好的团队沟通能力新建保理业务系统系统设计从原先的“大而全”转为“专而精”重新划分为国内、国际、离岸、普惠4个模块不同模块独立管理实现保理系统专业化、操作流程一致化、操作体验智能化及人性化同时支持新产品、新服务快速部署。应用设计上按照全栈信创要求实施系统技术架构采用分布式架构微服务底层采用分布式数据库分片形式承载。前端采用行内自研浦天开物赤霄剑VUE3后端使用玄铁剑SpringBoot 5.7.0RELEASE作为开发框架依赖金融云环境为底座。技术架构上对象存储选择OBS数据库选择GaussDB资源池负载均衡选择国产ELB应用部署采用云上容器和虚拟机部署模式
【任职要求】

"
前端客服（双休+底薪4000+不加班！）,成都,金牛,"【工作内容】
一、工作内容公司免费提供客户资源通过线上审核客户资料符合要求的发一个公司地址就可以啦不涉及销售工作简单轻松
【任职要求】
二、任职要求******左右有无经验均可接受实习接受应届毕业生可盖实习证明工作踏实点即可。三、工作时间09:30~12:00, 14:00~18:00,周末双休不加班十一点半就可以打饭了哦工作时间内是有休息时间的工作和生活分开 到点打卡不加班公司配冰箱微波炉可以带饭下午半小时下午茶时间团队氛围好非常好同事相处轻松没有压力的工作环境
"
web前端,北京,朝阳,"【工作内容】
1.根据产品需求及原型设计完成用户端产品编码实现确保安全、质量和用户体验包括但不限于Web、APP、小程序等2.熟练掌握HTML5、CSS3、JavaScript等前端基础知识熟悉W3C标准;3.熟悉Angular/Vue/React等主流框架之一并有一定的研究;4.学习能力强热爱技术对创新及挑战性的问题充满激情5.有责任心敢担当做事认真仔细具备良好的团队协作精神和沟通能力
【任职要求】

"
前端开发工程师,湖州,长兴,"【工作内容】
岗位职责1.依据产品经理的需求分析结果以及 UI 设计师的原型设计开展软件前端界面的开发与自测工作。严格执行部门制定的技术?案和技术路线同时积极主动地提出合理的优化改进建议。与后端?程师等团队成员紧密协作进?联调根据测试反馈及时修复 bug确保前端功能的稳定与完善。2.协助评估新签项目或售前项目的前端定制需求从技术角度分析其可?性并合理评估开发工作量。助力交付部门人员掌握产品的应用方法对项目中出现的疑难问题进行定位排查。针对重点保障项目根据需要前往现场配合进行运行调试与验收工作。结合项目应用过程中遇到的问题为产品的优化改进提供有价值的建议。3.编写产品前端相关的技术文档保证文档的准确性与可读性。按照部门要求做好代码版本的提交与管理工作。定期进行工作的计划制定与汇报确保工作进展清晰透明。积极配合完成直属领导临时交办的其他工作任务
【任职要求】
岗位要求1.具有全日制统招本科学历及以上计算机、软件工程、电子信息等相关专业背景。2.拥有 3 年及以上前端开发工作经验。3.有AGV调度系统界面以及物联网平台开发经验优先4.熟练掌握 React 等主流前端框架精通 JavaScript 编程语言。熟悉 OpenLayers、three.js 等 2D/3D 交互式图形开发库了解 HTTP、WebSocket 等通信交互方式。5.具备良好的沟通协调能力能够与团队成员高效协作。对技术有浓厚的兴趣持续保持学习的热情不断提升自身技术水平
"
WEB前端工程师,成都,青羊,"【工作内容】
1.统招本科及以上学历计算机相关专业,3年以上工作经验2.熟练掌握Vue开发框架并理解其核心原理3.熟悉前端工程化工具如Webpack、Babel、Npm等4.熟练掌握HTML、CSS3和JavaScriptES6+熟悉W3C标准、浏览器渲染原理、兼容性及性能问题5.有良好的代码规范和文档编写习惯注重代码质量和可维护性6.有webRTC相关音视频开发经验者优先7.有跨平台开发经验者优先、有Electron开发经验者优先8.工作态度积极主动有责任心能够承受一定的工作压力
【任职要求】

"
前端开发（金融银行项目）,深圳,罗湖,"【工作内容】
英语粤语可作为加分项学历本科学信网可查需要有学位证1、 熟练掌握mysql、oracle数据库和相关数据库的优化 2、 熟悉使用 eclipse、idea SVN、Git、Maven 等开发工具 3、了解 Linux、 Redis、RabbitMQ、Nginx 等中间件技术 4、具有多年微服务开发经验熟练使用
【任职要求】

"
前端开发工程,上海,普陀,"【工作内容】
前端的那个主要负责小程序的维护和优化岗位职责1、负责公司产品的前端页面开发与优化提升用户体验2、与设计师和后端工程师紧密合作确保项目按时高质量完成3、持续优化前端性能提升页面加载速度和交互效果4、参与前端技术架构规划推动前端工程化、组件化进程
【任职要求】
任职要求1、精通HTML5、CSS3、JavaScript具备良好的编码习惯2、熟练使用Vue.js框架及其生态有实际项目经验3、了解前端模块化开发能够使用Webpack等构建工具4、具备良好的沟通能力和团队合作精神能够快速学习新技术。1、基于.NET 8 代码库负责后端系统核心功能的设计与开发确保系统的高性能、高可用和稳定性。?2、参与数据库MySQL的设计、优化及维护工作编写高效的 SQL 语句解决复杂的数据处理问题。?3、熟练运用 Redis、RabbitMQ 等中间件实现系统的缓存优化、消息队列处理提升系统的并发处理能力和响应速度。?4、与前端团队协作基于 layui、jquery 等外部框架完成前后端接口联调保障项目的顺利交付。?5、负责代码的单元测试、代码审查编写高质量、可维护的代码并对线上问题进行快速定位和解决。?精通 C# 语言熟悉.NET 8 框架对.NET 生态有深入了解有实际项目开发经验者优先。?前端的基础要求HTML、CSS、JavaScript后端基础要求JAVA或C#、MySQL其他要求熟悉.NET 8 框架、熟练运用 Redis、RabbitMQ 等中间件熟悉 layui、jquery 等外部框架
"
vue前端开发工程师,杭州,滨江,"【工作内容】

【任职要求】
【任职要求】1.大专以上学历2530岁具备3年以上VUE前端开发经验2.精通HTML5、CSS3、JavaScript等前端基础技术熟悉各种布局方式和浏览器兼容性处理?3.至少熟练掌握一种主流前端框架Vue.js、React.js等了解其核?原理和?态系统?4.熟悉前端?程化工具如Webpack、Vite等能够配置和优化项目构建流程5.了解HTTP协议熟悉前后端数据交互的?式如RESTfulAPI、Ajax等?6.掌握Git等版本控制工具能够协同开发和管理代码。?【岗位职责】1.基于HTML5、CSS3、JavaScript等技术结合主流前端框架如Vue.js、React.js开发网站或应用程序的前端界面确保界面美观、交互流畅2.负责处理前端布局和浏览器兼容性问题优化用户体验保证在不同浏览器和设备上的展示效果一致?3.运用Webpack、Vite等工程化工具搭建和配置项目环境优化项目构建流程提升项目的编译速度和运行性能?4.与后端开发团队协作通过RESTfulAPI、Ajax等方式实现前后端数据交互确保数据准确展示和正常提交
"
小程序前端开发,重庆,沙坪坝,"【工作内容】
【uniapp小程序前端开发】前端开发工程师3个月项目制·坐班| **·可快速到岗【公司简介】重庆渠优库网络科技有限公司成立于2025年专注于电商2B领域运动品互联网服务、企业数字化转型、智能硬件配套软件等现因核心项目推进需求需招聘前端开发人员加入项目组项目周期3个月团队氛围轻松流程规范薪资待遇优厚完工后可根据表现协商长期合作可能。【工作内容】?负责项目前端页面的开发、优化与调试确保页面兼容性、响应速度和用户体验?配合经理、后端开发人员完成需求对接、接口联调保障项目功能正常落地?参与项目前端技术方案的讨论与制定解决开发过程中的技术问题?按项目进度要求完成开发任务确保项目按时上线交付
【任职要求】
【任职要求】?13年及以上前端开发经验有独立完成中小型项目前端开发的经验?熟练掌握HTML5、CSS3、JavaScript等基础技术熟悉Vue/React/Angular等至少一种主流前端框架?了解前端工程化webpack、gulp等、模块化开发具备良好的代码规范和编程习惯?能适配不同浏览器Chrome、Firefox、IE等和移动端设备的兼容性开发?具备良好的沟通能力、团队协作精神能快速融入项目组高效推进工作?可全职坐班工作地点重庆市沙坪坝区东原ARC大厦能连续服务3个月中途无长期请假计划?有小程序开发相关领域项目经验者如电商、企业管理系统、移动端H5等根据自身项目补充优先。【薪资待遇】?薪资4500元6000元/月项目完工后无试用期按实际出勤结算每月按时发放?福利提供五险、周末双休若项目周期覆盖假期可后期调休?其他办公环境舒适团队氛围轻松项目结束后可开具项目合作证明表现优秀者可协商长期合作或正式入职。【工作地点】重庆市沙坪坝区东原ARC中央广场大厦16层【应聘方式】?简历投递邮箱**************************邮件主题格式前端开发姓名联系方式可到岗时间
"
高级前端开发工程师（双休、五险一金）,长沙,开福,"【工作内容】
岗位职责1、负责Web前端页面的设计和开发2、与后台工程师协作完成数据交互、业务逻辑处理、动态信息展现3、配合项目经理设计用户交互模式研究并改善?户体验4、理解?户需求分析并给出最优的页?前端结构解决方案
【任职要求】
岗位要求1、8年或以上Web开发经验3年以上团队管理经验熟悉cesium二维/三维可视化经验优先2、熟悉W3C标准与ES规范熟悉Web语义化熟悉各种常?设计模式熟练掌握HTML5、CSS3、JavaScript开发3、熟练使用jQueryBootstrap等前端框架熟悉至少一种UI框架如LayUI/ElementUI等4、精通至少一种MVVM框架如Vue等掌握其原理能独立开发常用组件5、熟悉页面优化了解各主流浏览器特性能够使页面兼容主流浏览器。薪酬福利1、公司福利好入职购买五险一金2、每天8小时、周末双休3、 提供中餐、晚餐补贴4、交通补贴5、法定节假日、带薪年假6、生日福利、节假日福利7、丰富的员工活动下午茶、聚餐活动、团建活动、员工旅游8、丰富的年终奖
"
web前端开发工程师,深圳,龙岗,"【工作内容】
1、35年以上web前端开发经验能够独立完成前端页面开发工作2、熟悉流行前端MVVM架构掌握Angular/React/Vue中?种或多种开发框架熟悉Vue框架优先3、熟悉Web前端技术包括HTML、CSS、JS使?过主流的UI组件库开发4、熟悉ES5、ES6等语法掌握CSS的预编译语?LESS、SCSS5、熟练使用基于webpack、npm等自动化构建?具6、熟练使用GIT、VsCode等相关工具的使用7、对组件化、模块化、重构、性能优化、跨浏览器兼容、提高系统的扩展性有丰富的经验8、具备一定的抗压能力
【任职要求】

"
前端研发工程师,天津,东丽,"【工作内容】
职位描述1、负责公司C端小程序、WEB/H5前端开发工作2、参与需求评审、架构设计、编码设计和开发3、负责用户体验优化包括但不限于业务流程、前端展示、性能、安全等4、优化前端开发的工具和框架帮助提高开发效率以及代码规范
【任职要求】
职位要求1、本科及以上学历计算机相关专业2、4年以上web前端相关工作经历3、有扎实的前端基本功H5, ES6, CSS3了解业界先进的概念和开发方式4、至少能熟练使用一款 (Vue.js/React/AngularJS) 前端框架熟悉源码和框架原理者优先5、熟悉Node并有实践经验者优先6、熟悉前端构建工具如Gulp、Webpack等7、熟悉Web前端性能优化了解前端安全相关知识8、有主流浏览器兼容性、热爱前端技术个性乐观开朗团队协作能力强逻辑思维能力强善于合作
"
Vue前端开发,北京,,"【工作内容】
1.精通Vue.js框架及其生态Vuex/Vue Router等有Vue2/Vue3实际项目经验2.熟练使用Webpack/Vite等构建工具掌握前端工程化开发流程3.熟练使用Vant/Element UI/Ant Design Vue等主流UI框架4.扎实的HTML5/CSS3/JavaScript基础熟练掌握ES6+语法熟练掌握TypeScript5.具备良好的需求理解能力能独立完成模块开发善于沟通协作有较强的问题分析与解决能力6.有全栈开发经验Node.js/Java等优先考虑
【任职要求】

"
甲方内催/M1前端提醒/均薪9000+,重庆,渝北,"【工作内容】
保底5500!!!【无销售性质催收岗】   保底5500!!!       保底5500!!!【入职即买五险一金】正规稳定!甲方内催项目简单工资还很高!【工作内容】对逾期客户还款提醒易还款高提成工作内容简单好上手!轻松月入过万!【内催业务】主做M1轻松简单但收入不低!【薪资待遇】底薪【40005800】根据面试定+高额提成(不封顶)+激励中等员工9000+保底5500!!! 优秀员工月薪20000不用担心没业绩我们有新人保底
【任职要求】

"
四点下班包餐医疗前端咨询,合肥,包河,"【工作内容】
岗位职责1、负责新媒体渠道留资客户的维护开发2、及时掌握客户的对接情况以及业务成交进度3、对客户资源进行整合管理客户关系4、对客户进行电话邀约与咨询答疑服务5、为客户进行预约信息登记向相关人员沟通好服务对接倒班制早班8.0016.00晚班16.0023.00。月休四天调休制。无责底薪40006000可面谈
【任职要求】

"
【远程线上】全栈开发工程师（偏前端）,武汉,硚口,"【工作内容】
工作周期长期兼职每周工期5天及以上工作时间不限工作时段?作?结算?式月结招聘截止时间20251208AIGC应?团队base国内 深度参与基于AI服务为海外红人输出个性化多模态模型的应用 使用React框架开发前端应用程序确保高性能和良好的用户体验。 JAVA业务逻辑开发包括接口设计与实现 Python和大模型应用能力能进行开源模型的微调、推理及API调用。 与设计团队密切合作确保用户界面的视觉吸引力和易用性。 与后端团队紧密协作理解后端功能并将其转化为前端应用程序。 编写清晰、可维护的代码并进行单元测试和代码审查确保代码质量。 参与团队讨论和决策提供技术建议和解决方案远程岗位 每周工作40h每天固定daily sync其余时间弹性## 希望你* 心智成熟的成年人。* 一年以上在大型技术公司的前端开发经验* 对前端性能优化和用户体验有深入的理解和经验。* 熟练掌握 TypeScript、Java、Python 等前、后端技术。* 对主流前端框架 React 有深入应用并深入理解其设计原理。* 能对具体的产品进行性能优化实现极致的页面加载、执行和渲染时间。* 注重产品质量具有良好的代码风格、接口设计与程序架构。* 有使用云服务的经验。* 有敏捷开发经验。、* 有基于GenAI技术的项目经验者优先考虑。* 具备良好的团队合作能力能够与多个团队紧密合作达成共识并推动项目进展
【任职要求】

"
前端开发工程师（驻日本）,徐州,铜山,"【工作内容】
工作职责1.   本科及以上学历计算机相关专业。2.   3~7年前端开发经验扎实的JS基本功熟练掌握JavaScript、HTML、CSS、HTTP、NodeJs等。3.   熟练掌握React/Vue等前端主流框架并对其原理有深入理解至少熟悉掌握一种前端构建?具。4.   掌握前端安全性原则理解Web领域内常见的安全问题和防控?式。5.   对React、ReactNative以及React?态有较深的理解和项目经验者优先。6.   对技术细节原理有较深入研究性能优化有丰富经验成功开发过中?型Web应用程序良好的UI交互实现能力。7.   对新技术敏感热爱前端开发追求极致技术性能和友好的用户体验。8.   有团队协作精神善于学习乐于探索抗压能力强不墨守陈规敢于挑战自我解决各种未知问题
【任职要求】

"
中高级前端开发工程师,咸宁,,"【工作内容】
岗位职责1、负责公司可视化平台的前端架构设计协同服务端工程师完成前后端对接推进各子系统与模块前端应用的实现 2、负责对接公司内部其他平台的前端研发需求提供前端解决方案不断优化改进流程提?团队?作效率3、公司产品线前端技术的调研与应?并参与前端技术规划
【任职要求】
任职要求1 熟练掌握 Vue2Vue3 框架使用 vueclivite,vueroutervuexpinia 等工具快速?效的实现各类需求 2 拥有小程序开发能力熟练使用 uniapp 结合 vue 构建整体框架进行项目开发理解小程序开发流程 3 熟练掌握 HTML、CSS 和 JavaScript 等前端基础技术能够编写语义化的 HTML 结构灵活运用 CSS 样式进行页面布局和美化并使用 JavaScript 实现交互效果和动态功能 4 熟练运用 AntVEchars 等可视化库进行快速开发 5 熟练 element,VantuViewAntDesign 等 UI 框架 6 熟练使用 ajax、axios 等 API 接口获取后台数据可处理复杂数据类型 7 熟练使用 sassless 编写样式
"
前端开发工程师,深圳,南山,"【工作内容】
自动心面向酒吧、咖啡馆等线下休闲场景致力于打造真正可?、可爱、可负担的普及化线下服务数字?不断打磨产品为线下服务数字?的全面开花积蓄力量。在AI+硬件的创业浪潮中?先出现的是AI耳机、录音笔等交互终端类产品。但更多机会其实蕴藏在具体的服务场景中。现在各方面技术栈已经成熟可以平衡效果与成本的解决方案已经出现是时候走向大模型应用在服务场景的广阔天地了。【岗位职责】基于产品需求文档独立完成 iOS/Android双端App开发使用Flutter框架。实现与硬件设备的BLE蓝牙通信包括设备连接、图片传输、状态读取、固件升级等。实现用户系统登录/注册、设备管理、照片管理、设置模块等前端界面与交互。与后端协作完成用户信息、固件版本等数据的对接。基于Live2d实现网页端的数字人界面。包括网页动画、界面、语音输出。【技术要求】熟练使用 Flutter 开发具备上线项目经验。熟悉 BLE蓝牙协议有硬件设备通信开发经验者优先。具备用户界面设计与状态管理能力如Provider/Bloc。了解基础后端交互RESTful API。能阅读英文技术文档具备一定的自主学习能力。【岗位亮点】1. 和我们一起创造前所未有的超酷产品一起构建软件系统和产品概念。2. 很有竞争力的薪资、社保。3. 数量可观的公司期权激励。欢迎有兴趣同我们一起开创事业的朋友来询
【任职要求】

"
区块链前端开发工程师,深圳,龙华,"【工作内容】
区块链前端开发熟悉Web3.01、根据U设计师提供的设计图编写前端代码实现相关web界面要求兼容各主流浏览器;2、公司产品Web前端表现层及与后端交互的架构设计和开发;3、负责现有项目和新项目的前端修改调试和开发工作:4、负责前端工程化工具开发与整合通用类库与框架的编写;5、与后端开发团队紧密配合确保代码有效对接提高用户体验并满足性能要求;6、完成上级领导临时交办的其他工作
【任职要求】
任职要求:1、计算机或相关专业大专及以上学历2年以上WEB前端开发工作经验,有区块链开发经验;2、 熟悉web前端开发熟悉web3.js (必要)熟 悉掌握wxml. wxss WXS、HTML5、CSS3、VUE, React,uniapp,node.js等web前端技术;3、对网站及页面性能优化有一定认识和经验;4、熟悉微信小程序开发流程学习能力强喜欢尝试新知识
"
2027届前端开发实习生,,,"【工作内容】
我们是谁？我们不是一个传统的前端团队。我们是一个致力于探索技术前沿，将人工智能深度融入产品设计、开发和体验每一个环节的先锋团队。在这里，你不仅仅是在写代码，你是在和AI结对编程，共同构建下一代智能、自适应、极具表现力的Web应用。我们相信，未来的开发者一定是“AI增强型”的，而我们正在创造这个未来。实习期你将挑战什么？在这个职位上，你的核心任务是将AI作为你的“副驾驶”和“创意伙伴”，解决实际问题：AI驱动的开发流程：与AI结对编程，高效完成组件开发、页面搭建和业务逻辑实现。利用AI代码助手（如GitHub Copilot, Cursor, joycode等）进行代码生成、重构、调试和测试用例编写。构建智能用户体验：参与开发现代化的、响应式的Web应用，技术栈包括 React/Vue、Type script 。探索并实践AI在UI/UX领域的应用，例如：基于用户行为数据的个性化界面、AI驱动的动画与交互、智能内容推荐等。前沿技术探索与实践：研究和评估新兴的AI驱动开发工具和框架，并为团队引入最佳实践。有机会接触并参与LLM应用前端层的开发，例如构建AI Chatbot的交互界面或AI功能的集成。我们正在寻找这样的你：必备条件（你的基础盘）：2027届在校生，计算机科学、软件工程或相关专业。熟悉 HTML5、CSS3、Java script (ES6+) 核心知识。对至少一个现代前端框架（React 或 Vue）有基本了解和使用经验。对Web开发充满热情，具备出色的学习能力和解决问题的动力。最重要的一点：你是AI的“重度用户”和“探索者”。 你积极使用各类AI工具来辅助你的学习、思考和编码过程。加分项（让你脱颖而出）：有使用 GitHub Copilot, Cursor 等AI编程工具的实际经验。了解 Type script，并理解其在大型项目中的价值。对 Prompt Engineering 有基本概念，知道如何与AI高效沟通以获得理想的代码或解决方案。具备良好的审美，了解UI/UX基本原则，熟悉 Tailwind CSS 等现代CSS框架。有自己的技术博客、GitHub项目或参与过个人/团队项目，并能清晰地阐述你在其中如何利用了AI。你将获得什么？一把通往未来的钥匙： 深入掌握“AI+前端”这一极具竞争力的技能组合，远超同龄人。一位AI导师与伙伴： 在我们的指导下，你将学会如何最高效地与AI协作，将其能力发挥到极致。真实的项目经验： 深度参与核心产品或创新项目的开发，你的代码将服务真实的用户。极具竞争力的实习薪酬 和转正机会。友好的团队氛围： 与一群同样热爱技术、拥抱变化的前辈们共同工作，我们会为你提供全方位的指导
【任职要求】

"
高级前端工程师,深圳,,"【工作内容】
岗位职责1.负责公司信息化产品的前端架构设计和研发工作。2.与后端工程师和UI协作高效优质完成产品界面和功能的实现。3.负责前端性能调优设计并开发高效可复用的交互组件。4.书写技术文档和制定开发规范与团队成员共同提升技术能力。5.参与前端新技术的研究和推广工作
【任职要求】
职位要求1.计算机或相关专业211本科以上学历5年以上相关工作经验2.精通JavaScript技术了解JavaScript基础原理熟练运用一种常见JS开发框架例如Vue/React等熟悉Element Plus、Element UI等前端组件库。3.精通Webpack/Vite中的一个基础工程框架有封装过工具或者框架经验的优先考虑4.有数据类产品、工具类产品研发经验类似于数据分析、BI报表、ETL工具开发经验等等优先5.有后端开发经验java、python优先6.熟悉HTTP协议及浏览器加载、渲染机制对浏览器兼容性、性能优化有深入研究有大型互联网网站开发经验优先7.有良好的团队协调能力充满工作热情人品正直诚实能承受工作压力
"
SCG-前端工程师（智能体 Web 应用方向）,深圳,南山,"【工作内容】
岗位职责:负责智能体AgentWeb 应用的前端架构设计与开发打造流畅、智能的交互体验设计并实现与大模型LLM交互的前端机制如流式响应SSE / WebSocket、上下文状态可视化、对话中断与回溯等功能参与大模型应?系统的交互层设计与后端协作实现智能体任务流、可视化计划、?具调?等功能模块优化前端性能与交互体验提升复杂状态下的渲染性能与用户响应速度与算法、后端、设计等团队协作定义接口协议、状态同步机制确保系统稳定上线持续关注智能体Agent与大模型交互技术的发展趋势结合业务场景推进前端体系和?户体验的创新
【任职要求】
任职要求:计算机科学、软件工程、人工智能或相关专业本科及以上学历熟练掌握 Vue3 / React / Next.js  等现代前端框架具备良好的组件化、工程化开发能力熟悉 TypeScript / ES6+了解前端状态管理框架Redux、Recoil、Zustand 等熟悉 SSE / WebSocket / RESTful API 通信机制具备构建实时交互界面的经验了解 前端性能优化与构建工具链Vite、Webpack、CI/CD对交互体验有较高要求能从产品视角优化智能体界面逻辑与视觉反馈拥有良好的沟通与团队协作能力具备主动学习和问题解决能力。加分项具备 AI / 大模型类产品 的前端开发经验如对话系统、Agent 应用、提示词编辑器、模型可视化界面等理解大模型交互的前端设计模式与用户体验可直接展示作品参与或主导过 智能体Agent系统、模型推理服务、AI 中台或 RAG 检索系统 的前端开发或可视化对接具备跨端协作与系统集成能力可直接展示作品了解 LLM 及其推理服务机制具备一定后端知识如调用链路、流式响应、缓存管理、RAG数据流等
"
前端工程师,扬州,广陵,"【工作内容】
岗位职责1、负责公司Web前端页面的设计与实现提升用户体验2、参与产品需求分析和技术方案讨论提供前端技术实施建议3、优化前端代码结构确保跨浏览器兼容性和良好的性能表现
【任职要求】
岗位要求1、本科及以上学历1年以下前端开发经验2、熟练掌握HTML5、CSS3等前端技术了解响应式设计3、熟悉JavaScript和主流前端框架或库如React、Vue等4、具备良好的沟通能力和团队协作精神
"
